sex;prefecture;pop_total;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Male;Saitama-ken;3.652.169;24.703;25.736;27.123;27.790;29.251;29.983;29.777;30.500;30.097;31.400;31.736;31.826;32.281;32.445;32.003;32.062;32.733;33.432;35.326;37.339;38.858;39.416;39.869;40.072;39.980;40.874;40.188;39.405;39.445;39.446;40.135;40.535;41.849;42.115;42.603;44.130;45.737;46.475;47.075;47.283;49.330;51.187;53.289;54.093;57.383;60.198;64.364;66.195;65.684;63.663;61.045;59.620;57.368;56.968;43.583;53.283;49.143;46.687;43.887;42.601;42.117;42.037;40.708;39.183;40.826;42.818;41.868;44.102;46.612;49.097;52.448;56.344;55.145;53.699;33.906;34.879;42.725;41.230;40.310;37.179;32.701;26.394;26.145;24.108;22.367;18.805;15.094;12.831;10.638;8.514;6.590;5.217;3.982;2.853;2.212;1.406;901;600;357;207;410
Male;Chiba-ken;3.117.987;20.706;21.808;22.942;23.467;24.428;25.370;25.019;25.716;25.720;26.387;27.025;27.272;27.519;27.290;27.080;27.129;28.169;28.297;30.399;31.961;33.396;33.738;34.514;34.498;34.520;34.664;34.434;33.457;33.626;33.465;33.975;34.622;35.603;36.555;36.314;38.321;39.191;39.672;40.030;40.182;41.451;43.092;44.329;45.846;48.278;50.531;53.551;55.125;54.738;53.922;51.500;50.370;49.036;48.129;36.625;44.819;41.447;39.702;37.273;36.630;35.968;36.165;34.534;33.745;35.225;36.340;35.990;37.826;40.358;42.172;45.119;48.762;48.272;47.192;29.247;29.860;36.562;35.269;34.342;32.300;27.595;22.667;22.501;21.519;19.575;16.550;13.649;11.805;9.982;7.990;6.309;4.921;3.927;2.919;2.139;1.408;877;565;363;243;360
Male;Tokyo-to;6.898.388;51.004;51.983;53.817;54.239;55.589;55.980;54.580;54.642;53.168;53.805;54.025;53.587;53.283;52.270;50.679;50.056;51.473;51.775;58.453;67.784;74.877;77.299;85.155;92.141;97.402;101.504;102.407;98.633;99.534;96.235;95.935;95.933;97.102;98.157;98.186;101.451;103.668;104.539;102.962;102.874;105.447;106.505;108.932;109.478;112.982;115.218;120.817;123.267;121.204;118.463;116.114;116.007;112.307;111.955;89.558;105.740;97.750;91.373;85.721;80.820;78.654;76.224;71.181;66.905;66.510;67.610;65.675;67.341;70.466;73.703;78.849;85.788;85.702;81.313;49.200;51.327;61.000;58.699;57.210;54.025;47.139;38.921;39.097;37.761;36.404;32.202;26.983;24.440;20.393;16.783;13.585;10.563;8.491;6.438;4.781;3.351;2.066;1.388;926;592;858
Male;Kanagawa-ken;4.588.268;31.519;32.858;34.340;34.804;36.289;37.339;37.288;37.926;37.944;38.786;39.268;39.314;39.841;39.869;39.531;39.063;40.589;40.677;43.867;48.250;50.701;51.675;53.863;53.450;54.813;55.315;54.788;52.549;52.273;51.560;51.594;51.577;53.169;53.961;54.847;56.820;58.658;59.767;59.854;60.050;62.782;64.962;66.947;69.349;71.946;75.144;80.457;83.402;81.814;81.359;80.303;79.608;77.585;77.711;60.748;72.174;65.929;62.713;58.579;55.678;54.028;53.163;50.136;47.075;48.168;48.912;47.781;49.669;53.454;56.080;59.828;65.036;63.576;60.949;38.605;40.098;48.134;46.233;45.553;42.457;37.422;31.387;30.806;29.190;27.288;23.672;19.363;17.106;14.504;11.853;9.505;7.596;5.983;4.385;3.286;2.276;1.406;911;593;361;604
Male;Niigata-ken;1.068.670;6.420;6.941;7.288;7.689;8.118;8.304;8.468;8.759;8.788;9.139;9.167;9.362;9.481;9.624;9.583;9.547;10.391;9.966;10.222;10.034;9.841;9.391;9.483;9.398;9.351;9.143;9.649;9.298;9.652;9.579;10.095;10.274;10.823;10.907;11.783;12.024;12.165;12.271;12.358;13.016;13.606;14.024;14.713;15.015;15.700;15.753;16.616;16.415;15.937;15.563;15.170;15.365;14.833;15.262;11.732;14.822;13.899;13.934;13.568;13.685;14.207;14.780;14.530;14.614;15.040;15.964;15.809;16.566;17.134;17.797;19.058;19.718;18.821;17.953;9.900;10.472;12.379;11.787;11.673;11.052;10.087;8.611;8.922;8.266;8.394;6.949;6.043;5.691;4.867;4.243;3.422;2.814;2.207;1.752;1.281;879;541;370;253;168;252
Male;Toyama-ken;502.637;3.250;3.420;3.516;3.660;3.824;3.867;3.896;4.019;4.080;4.212;4.212;4.360;4.440;4.510;4.651;4.772;4.981;4.926;4.831;4.533;4.764;4.690;4.898;4.738;4.865;5.122;4.898;4.693;4.844;4.670;4.902;4.955;4.998;5.147;5.264;5.455;5.613;5.771;5.786;5.863;6.197;6.400;6.981;7.155;7.840;8.049;8.544;8.746;8.621;8.150;7.720;7.590;6.912;7.011;5.359;6.613;6.340;6.384;5.962;6.041;6.287;6.195;5.948;5.887;6.222;6.601;6.428;6.865;7.232;7.364;8.424;9.273;9.482;10.056;4.891;5.156;6.512;5.727;6.275;5.530;4.602;3.821;3.720;3.701;3.718;2.953;2.734;2.601;2.022;1.824;1.483;1.298;962;725;511;357;260;172;115;75;117
Male;Ishikawa-ken;549.771;3.876;3.997;4.275;4.416;4.589;4.702;4.642;4.786;4.845;4.884;4.869;5.047;5.059;5.195;5.083;5.157;5.462;5.736;6.112;6.655;6.950;6.707;6.523;6.034;5.908;5.739;5.645;5.472;5.382;5.240;5.524;5.643;5.654;5.883;5.921;5.975;6.190;6.323;6.421;6.415;6.779;7.083;7.537;7.934;8.409;8.824;9.263;9.358;9.184;8.624;8.260;7.813;7.515;7.730;5.817;7.209;6.862;6.625;6.379;6.485;6.591;6.755;6.557;6.271;6.395;6.969;7.034;6.957;7.297;7.476;8.623;9.644;9.947;10.014;4.926;4.996;6.487;6.143;6.270;5.375;4.653;3.652;3.583;3.493;3.534;2.842;2.619;2.502;1.976;1.736;1.384;1.219;964;632;561;356;253;162;113;71;113
Male;Fukui-ken;373.973;2.687;2.791;2.892;2.973;3.086;3.282;3.230;3.283;3.361;3.494;3.483;3.673;3.650;3.664;3.712;3.762;3.849;4.082;3.669;3.262;3.578;3.526;3.593;3.591;3.606;3.725;3.681;3.700;3.681;3.737;3.668;3.955;3.911;4.009;4.158;4.186;4.346;4.381;4.296;4.414;4.680;4.824;5.077;5.149;5.328;5.577;5.836;6.017;5.851;5.474;5.277;5.116;5.148;5.125;3.672;5.221;4.792;4.908;4.778;4.744;4.725;4.967;4.817;4.689;4.795;5.092;4.802;5.168;5.385;5.676;6.255;6.806;6.561;5.844;2.941;3.341;4.088;4.278;4.068;3.722;3.111;2.569;2.663;2.696;2.754;2.152;2.016;1.978;1.606;1.464;1.137;970;780;564;452;309;187;107;76;52;89
Male;Yamanashi-ken;397.309;2.599;2.615;2.862;2.848;3.015;3.102;3.177;3.066;3.193;3.300;3.541;3.379;3.465;3.544;3.620;3.769;4.163;4.198;4.331;4.316;4.291;4.093;4.215;3.851;3.711;3.787;3.809;3.721;3.796;3.711;3.735;3.773;4.051;4.150;4.035;4.298;4.294;4.381;4.554;4.481;4.749;4.777;5.112;5.144;5.543;5.771;6.113;6.146;6.252;6.187;6.101;5.991;5.821;6.041;5.011;5.855;5.507;5.478;5.298;5.274;5.282;5.301;5.174;5.077;5.437;5.477;5.506;5.731;5.808;6.250;6.254;6.834;6.585;6.096;3.677;3.802;4.607;4.627;4.394;4.121;3.683;3.069;2.978;2.931;2.689;2.400;2.129;1.911;1.669;1.554;1.217;1.042;847;649;479;374;233;144;102;63;95
Male;Nagano-ken;1.000.389;6.575;7.011;7.214;7.479;8.072;8.177;8.221;8.483;8.661;8.903;9.084;9.079;9.395;9.606;9.635;9.781;10.180;10.254;9.536;8.532;8.371;8.477;8.803;8.793;9.028;9.290;9.155;9.034;9.053;9.057;9.289;9.438;9.893;10.098;10.218;10.631;10.823;10.982;11.339;11.631;12.446;12.705;13.663;13.978;14.728;15.343;16.157;16.099;15.779;15.590;15.265;14.720;14.374;14.365;11.505;14.002;12.819;12.856;12.701;12.733;12.505;12.742;12.516;12.415;12.980;13.455;13.084;13.589;14.055;15.211;16.302;17.528;17.049;15.706;9.447;10.644;12.790;11.663;11.860;10.689;9.965;7.938;8.227;8.104;7.378;6.638;6.102;5.663;5.034;4.423;3.699;3.029;2.503;1.977;1.446;1.040;692;488;301;169;234
