countryname,wave,EVI,SVI
Malaysia,WVS5,37.14715553074012,14.384837477880229
Mali,WVS5,36.28472222222222,5.710118425635667
Mexico,WVS5,49.77988664821405,17.881944444444446
Moldova,WVS5,46.925848442584844,30.107526881720432
Morocco,WVS5,NA,10.219017094017095
Netherlands,WVS5,70.7440647690966,41.99133870052429
New Zealand,WVS5,66.12864485756835,42.35018280082658
Norway,WVS5,81.72018947446944,51.8251516191784
Peru,WVS5,NA,NA
Poland,WVS5,48.43808854810375,19.2712314394299
Romania,WVS5,50.401841448189764,18.286523774328654
Russia,WVS5,46.074425575754574,33.3123126574967
Rwanda,WVS5,35.45442605726294,11.147210822313422
Serbia,WVS5,58.05941732226893,25.303340149965916
Vietnam,WVS5,40.46453718014769,35.894552723638185
Slovenia,WVS5,67.0031793220199,36.249467858663266
South Africa,WVS5,48.14459363450135,14.241857317097141
Spain,WVS5,70.5356696369861,38.07114119802183
Sweden,WVS5,82.70703708995181,57.088187273030876
Switzerland,WVS5,71.61490617290293,NA
Thailand,WVS5,41.504416142097305,33.34070633340706
Trinidad and Tobago,WVS5,48.33106774045584,11.586375097129368
Turkey,WVS5,45.41790410861494,15.007322057053235
Ukraine,WVS5,43.917818411376494,30.070958392960918
Egypt,WVS5,NA,8.136194248580313
Great Britain,WVS5,63.45981389894837,38.43482597937115
United States,WVS5,59.565226766221635,26.778428214183975
Burkina Faso,WVS5,36.55199484116971,9.439772341148489
Uruguay,WVS5,62.818952577988725,34.53392558259303
Zambia,WVS5,47.50743444174101,14.488149950437057
Algeria,WVS6,37.64333076894897,14.695340501792115
Azerbaijan,WVS6,36.3640686838769,24.308360478883017
Argentina,WVS6,59.81830753811517,30.23750365277864
Australia,WVS6,71.44235007320731,42.41336704835433
Armenia,WVS6,39.38111898494921,16.624219877804347
Brazil,WVS6,55.27199145626154,20.751367227446973
Belarus,WVS6,50.167144490965484,37.10047382538381
Chile,WVS6,59.289093466308664,34.44314641744548
China,WVS6,41.124107254724215,59.66781647261163
Taiwan ROC,WVS6,53.46536072591653,47.321066680742206
Colombia,WVS6,49.01149425287357,15.572161835748792
Cyprus,WVS6,59.14826559181502,22.177254607803164
Ecuador,WVS6,44.30939741082239,14.911912751677852
Estonia,WVS6,58.7211503353166,52.890218032885635
Georgia,WVS6,43.30558781778294,10.447224618924361
Palestine,WVS6,39.19457263440224,15.645645645645645
Germany,WVS6,63.025553928318146,44.33401511126557
Ghana,WVS6,35.862972505048255,4.227281518948831
Haiti,WVS6,36.52717652717653,17.315106905012268
Hong Kong SAR,WVS6,47.608102552603064,54.07618062736988
India,WVS6,30.93182712302591,16.130280327811192
Iraq,WVS6,40.80258055889825,13.88888888888889
Japan,WVS6,55.84425717852684,62.173396674584325
Kazakhstan,WVS6,46.880501027553755,30.85139729390795
Jordan,WVS6,37.67060677698976,8.841840129265279
South Korea,WVS6,48.54016335889687,47.61781208812416
Kuwait,WVS6,NA,13.302034428794993
Kyrgyzstan,WVS6,34.7116295299337,18.129960317460316
Lebanon,WVS6,44.819563152896485,27.14025500910747
Libya,WVS6,36.70996088416887,10.710027705574648
Malaysia,WVS6,34.333333333333336,21.35000429664003
Mexico,WVS6,49.14017767125112,17.797518330513256
Morocco,WVS6,42.55278820273703,10.875173021265889
Netherlands,WVS6,74.96720451265907,45.69716775599129
New Zealand,WVS6,66.34801232826621,41.65293794618342
Nigeria,WVS6,31.141395286190996,8.698093946479391
Pakistan,WVS6,27.093887438592258,12.07885642632236
Peru,WVS6,49.74013206448159,17.847587443060984
Philippines,WVS6,41.71228620821299,11.314225283906453
Poland,WVS6,50.17409761011186,22.026493869021824
Qatar,WVS6,36.74610290873707,2.252939267383442
Romania,WVS6,47.16364829482194,21.218222214961997
Russia,WVS6,49.431089897003275,37.42806421245651
Rwanda,WVS6,34.84319289820272,16.315578840136798
Singapore,WVS6,47.58877198376208,30.37391938838271
Slovenia,WVS6,67.89529914529915,38.94876912840985
South Africa,WVS6,47.82244967216902,20.369303810166894
Zimbabwe,WVS6,42.120958775356655,10.18670369605546
Spain,WVS6,68.51850189320274,41.61836738452764
Sweden,WVS6,81.86289414234486,56.02870300947907
Thailand,WVS6,40.76221344859471,32.78291682195378
Trinidad and Tobago,WVS6,50.107991360691145,11.815169802390251
Tunisia,WVS6,40.49105285060341,13.506304558680892
Turkey,WVS6,38.27052877513339,15.499491503900963
Ukraine,WVS6,49.76401236718116,33.85790714748579
Egypt,WVS6,NA,NA
United States,WVS6,64.04392011513488,29.736689073708053
Uruguay,WVS6,63.9110402268297,37.56358768406962
Uzbekistan,WVS6,31.64064473750695,21.853380011669586
Yemen,WVS6,33.02017464619091,6.880793837315577
Andorra,WVS7,78.3408155630378,45.23725628376791
Argentina,WVS7,58.790829653840966,27.923611831941983
Australia,WVS7,78.35822337820723,45.76106277435077
Bangladesh,WVS7,31.676919133666537,4.908430529977491
Armenia,WVS7,43.615268661808415,13.633733048437584
Bolivia,WVS7,43.679834941440625,14.151973131821999
Brazil,WVS7,55.89548521299426,25.141070917996583
Myanmar,WVS7,27.800964570580597,13.740740740740742
Canada,WVS7,76.05558824923584,47.230972955595476
Chile,WVS7,53.16066303827672,38.274292302525566
China,WVS7,41.79920495354987,53.925999073200735
Taiwan ROC,WVS7,54.110100155427574,49.53691368787666
Colombia,WVS7,46.79215399610136,18.13431176339782
Cyprus,WVS7,53.922476519966,22.937009146236445
Ecuador,WVS7,45.29286996247349,15.11379447425959
Ethiopia,WVS7,43.02210956203352,9.409492273730685
Germany,WVS7,75.47777262659042,44.35985368084134
Greece,WVS7,63.86274445263657,24.554638575776337
Guatemala,WVS7,51.840810145750524,22.94057281462823
Hong Kong SAR,WVS7,52.44570549137029,58.92102592138712
Indonesia,WVS7,29.56306547278771,12.66959026691832
Iran,WVS7,34.80547986678777,17.92842395044735
Iraq,WVS7,42.34805033124361,12.461562115621156
Japan,WVS7,63.959556425309856,65.59927983539094
Kazakhstan,WVS7,43.30029560076509,25.013576626479853
Jordan,WVS7,40.566008299790944,8.478513356562138
Kenya,WVS7,51.30857898715042,11.120159247195078
South Korea,WVS7,46.57147106946304,57.074966532797866
Kyrgyzstan,WVS7,26.780400836578195,17.07655528005973
Lebanon,WVS7,49.4057139273058,21.851217656012178
Libya,WVS7,36.273404400710675,9.31646562714524
Macau SAR,WVS7,52.710205274307846,57.88685430089296
Malaysia,WVS7,45.21734224704522,21.15938346883469
Mexico,WVS7,52.893857995154825,23.46610901422408
Mongolia,WVS7,49.18629418176822,45.46164192157816
Morocco,WVS7,50.60339506172839,20.296296296296294
New Zealand,WVS7,77.45917960971725,47.83021735826114
Nicaragua,WVS7,43.16975308641975,18.155092592592595
Nigeria,WVS7,31.99955148046193,6.454573681538433
Pakistan,WVS7,24.99948928520357,12.237959498782589
Peru,WVS7,46.93499974248693,19.188902431503475
Philippines,WVS7,41.08345598951212,9.884139159150463
Puerto Rico,WVS7,63.71559633027523,15.186745734498544
Romania,WVS7,49.05875954396826,23.87818577098718
Russia,WVS7,49.99302422363567,29.198662146054545
Serbia,WVS7,58.56336503518132,32.9351953938503
Singapore,WVS7,49.55575780112413,34.41016665976517
Vietnam,WVS7,51.49691358024692,37.76388888888889
Zimbabwe,WVS7,42.259813890429534,8.34260031507738
Tajikistan,WVS7,NA,24.611111111111114
Thailand,WVS7,45.62691011914015,41.36511019842886
Tunisia,WVS7,41.37049507419878,18.468929860501415
Turkey,WVS7,42.44483413707439,23.5531555119184
Ukraine,WVS7,49.94423330187177,35.35137326569358
Egypt,WVS7,NA,13.035637381567616
United States,WVS7,65.17037890489479,33.78961258618213
Venezuela,WVS7,52.264239028944914,25.056449336720295
